City,Population,SNOW,DATE
Corpus Christi ,322726,0,1954-08
Corpus Christi ,322726,0,1954-09
Corpus Christi ,322726,0,1954-10
Corpus Christi ,322726,0,1954-11
Corpus Christi ,322726,0,1954-12
Corpus Christi ,322726,0,1955-01
Corpus Christi ,322726,0,1955-02
Corpus Christi ,322726,0,1955-03
Corpus Christi ,322726,0,1955-04
Corpus Christi ,322726,0,1955-05
Corpus Christi ,322726,0,1955-06
Corpus Christi ,322726,0,1955-07
Corpus Christi ,322726,0,1955-08
Corpus Christi ,322726,0,1955-09
Corpus Christi ,322726,0,1955-10
Corpus Christi ,322726,0,1955-11
Corpus Christi ,322726,0,1955-12
Corpus Christi ,322726,0,1956-01
Corpus Christi ,322726,0,1956-02
Corpus Christi ,322726,0,1956-03
Corpus Christi ,322726,0,1956-04
Corpus Christi ,322726,0,1956-05
Corpus Christi ,322726,0,1956-06
Corpus Christi ,322726,0,1956-07
Corpus Christi ,322726,0,1956-08
Corpus Christi ,322726,0,1956-09
Corpus Christi ,322726,0,1956-10
Corpus Christi ,322726,0,1956-11
Corpus Christi ,322726,0,1956-12
Corpus Christi ,322726,0,1957-01
Corpus Christi ,322726,0,1957-02
Corpus Christi ,322726,0,1957-03
Corpus Christi ,322726,0,1957-04
Corpus Christi ,322726,0,1957-05
Corpus Christi ,322726,0,1957-06
Corpus Christi ,322726,0,1957-07
Corpus Christi ,322726,0,1957-08
Corpus Christi ,322726,0,1957-09
Corpus Christi ,322726,0,1957-10
Corpus Christi ,322726,0,1957-11
Corpus Christi ,322726,0,1957-12
Corpus Christi ,322726,0,1958-01
Corpus Christi ,322726,0.5,1958-02
Corpus Christi ,322726,0,1958-03
Corpus Christi ,322726,0,1958-04
Corpus Christi ,322726,0,1958-05
Corpus Christi ,322726,0,1958-06
Corpus Christi ,322726,0,1958-07
Corpus Christi ,322726,0,1958-08
Corpus Christi ,322726,0,1958-09
Corpus Christi ,322726,0,1958-10
Corpus Christi ,322726,0,1958-11
Corpus Christi ,322726,0,1958-12
Corpus Christi ,322726,0,1959-01
Corpus Christi ,322726,0,1959-02
Corpus Christi ,322726,0,1959-03
Corpus Christi ,322726,0,1959-04
Corpus Christi ,322726,0,1959-05
Corpus Christi ,322726,0,1959-06
Corpus Christi ,322726,0,1959-07
Corpus Christi ,322726,0,1959-08
Corpus Christi ,322726,0,1959-09
Corpus Christi ,322726,0,1959-10
Corpus Christi ,322726,0,1959-11
Corpus Christi ,322726,0,1959-12
Corpus Christi ,322726,0,1960-01
Corpus Christi ,322726,0,1960-02
Corpus Christi ,322726,0,1960-03
Corpus Christi ,322726,0,1960-04
Corpus Christi ,322726,0,1960-05
Corpus Christi ,322726,0,1960-06
Corpus Christi ,322726,0,1960-07
Corpus Christi ,322726,0,1960-08
Corpus Christi ,322726,0,1960-09
Corpus Christi ,322726,0,1960-10
Corpus Christi ,322726,0,1960-11
Corpus Christi ,322726,0,1960-12
Corpus Christi ,322726,0,1961-01
Corpus Christi ,322726,0,1961-02
Corpus Christi ,322726,0,1961-03
Corpus Christi ,322726,0,1961-04
Corpus Christi ,322726,0,1961-05
Corpus Christi ,322726,0,1961-06
Corpus Christi ,322726,0,1961-07
Corpus Christi ,322726,0,1961-08
Corpus Christi ,322726,0,1961-09
Corpus Christi ,322726,0,1961-10
Corpus Christi ,322726,0,1961-11
Corpus Christi ,322726,0,1961-12
Corpus Christi ,322726,0,1962-01
Corpus Christi ,322726,0,1962-02
Corpus Christi ,322726,0,1962-03
Corpus Christi ,322726,0,1962-04
Corpus Christi ,322726,0,1962-05
Corpus Christi ,322726,0,1962-06
Corpus Christi ,322726,0,1962-07
Corpus Christi ,322726,0,1962-08
Corpus Christi ,322726,0,1962-09
Corpus Christi ,322726,0,1962-10
Corpus Christi ,322726,0,1962-11
Corpus Christi ,322726,0,1962-12
Corpus Christi ,322726,0,1963-01
Corpus Christi ,322726,0,1963-02
Corpus Christi ,322726,0,1963-03
Corpus Christi ,322726,0,1963-04
Corpus Christi ,322726,0,1963-05
Corpus Christi ,322726,0,1963-06
Corpus Christi ,322726,0,1963-07
Corpus Christi ,322726,0,1963-08
Corpus Christi ,322726,0,1963-09
Corpus Christi ,322726,0,1963-10
Corpus Christi ,322726,0,1963-11
Corpus Christi ,322726,0,1963-12
Corpus Christi ,322726,0,1964-01
Corpus Christi ,322726,0,1964-02
Corpus Christi ,322726,0,1964-03
Corpus Christi ,322726,0,1964-04
Corpus Christi ,322726,0,1964-05
Corpus Christi ,322726,0,1964-06
Corpus Christi ,322726,0,1964-07
Corpus Christi ,322726,0,1964-08
Corpus Christi ,322726,0,1964-09
Corpus Christi ,322726,0,1964-10
Corpus Christi ,322726,0,1964-11
Corpus Christi ,322726,0,1964-12
Corpus Christi ,322726,0,1965-01
Corpus Christi ,322726,0,1965-02
Corpus Christi ,322726,0,1965-03
Corpus Christi ,322726,0,1965-04
Corpus Christi ,322726,0,1965-05
Corpus Christi ,322726,0,1965-06
Corpus Christi ,322726,0,1965-07
Corpus Christi ,322726,0,1965-08
Corpus Christi ,322726,0,1965-09
Corpus Christi ,322726,0,1965-10
Corpus Christi ,322726,0,1965-11
Corpus Christi ,322726,0,1965-12
Corpus Christi ,322726,0,1966-01
Corpus Christi ,322726,0,1966-02
Corpus Christi ,322726,0,1966-03
Corpus Christi ,322726,0,1966-04
Corpus Christi ,322726,0,1966-05
Corpus Christi ,322726,0,1966-06
Corpus Christi ,322726,0,1966-07
Corpus Christi ,322726,0,1966-08
Corpus Christi ,322726,0,1966-09
Corpus Christi ,322726,0,1966-10
Corpus Christi ,322726,0,1966-11
Corpus Christi ,322726,0,1966-12
Corpus Christi ,322726,1,1967-01
Corpus Christi ,322726,0,1967-02
Corpus Christi ,322726,0,1967-03
Corpus Christi ,322726,0,1967-04
Corpus Christi ,322726,0,1967-05
Corpus Christi ,322726,0,1967-06
Corpus Christi ,322726,0,1967-07
Corpus Christi ,322726,0,1967-08
Corpus Christi ,322726,0,1967-09
Corpus Christi ,322726,0,1967-10
Corpus Christi ,322726,0,1967-11
Corpus Christi ,322726,0,1967-12
Corpus Christi ,322726,0,1968-01
Corpus Christi ,322726,0,1968-02
Corpus Christi ,322726,0,1968-03
Corpus Christi ,322726,0,1968-04
Corpus Christi ,322726,0,1968-05
Corpus Christi ,322726,0,1968-06
Corpus Christi ,322726,0,1968-07
Corpus Christi ,322726,0,1968-08
Corpus Christi ,322726,0,1968-09
Corpus Christi ,322726,0,1968-10
Corpus Christi ,322726,0,1968-11
Corpus Christi ,322726,0,1968-12
Corpus Christi ,322726,0,1969-01
Corpus Christi ,322726,0,1969-02
Corpus Christi ,322726,0,1969-03
Corpus Christi ,322726,0,1969-04
Corpus Christi ,322726,0,1969-05
Corpus Christi ,322726,0,1969-06
Corpus Christi ,322726,0,1969-07
Corpus Christi ,322726,0,1969-08
Corpus Christi ,322726,0,1969-09
Corpus Christi ,322726,0,1969-10
Corpus Christi ,322726,0,1969-11
Corpus Christi ,322726,0,1969-12
Corpus Christi ,322726,0,1970-01
Corpus Christi ,322726,0,1970-02
Corpus Christi ,322726,0,1970-03
Corpus Christi ,322726,0,1970-04
Corpus Christi ,322726,0,1970-05
Corpus Christi ,322726,0,1970-06
Corpus Christi ,322726,0,1970-07
Corpus Christi ,322726,0,1970-08
Corpus Christi ,322726,0,1970-09
Corpus Christi ,322726,0,1970-10
Corpus Christi ,322726,0,1970-11
Corpus Christi ,322726,0,1970-12
Corpus Christi ,322726,0,1971-01
Corpus Christi ,322726,0,1971-02
Corpus Christi ,322726,0,1971-03
Corpus Christi ,322726,0,1971-04
Corpus Christi ,322726,0,1971-05
Corpus Christi ,322726,0,1971-06
Corpus Christi ,322726,0,1971-07
Corpus Christi ,322726,0,1971-08
Corpus Christi ,322726,0,1971-09
Corpus Christi ,322726,0,1971-10
Corpus Christi ,322726,0,1971-11
Corpus Christi ,322726,0,1971-12
Corpus Christi ,322726,0,1972-01
Corpus Christi ,322726,0,1972-02
Corpus Christi ,322726,0,1972-03
Corpus Christi ,322726,0,1972-04
Corpus Christi ,322726,0,1972-05
Corpus Christi ,322726,0,1972-06
Corpus Christi ,322726,0,1972-07
Corpus Christi ,322726,0,1972-08
Corpus Christi ,322726,0,1972-09
Corpus Christi ,322726,0,1972-10
Corpus Christi ,322726,0,1972-11
Corpus Christi ,322726,0,1972-12
Corpus Christi ,322726,0.2,1973-01
Corpus Christi ,322726,1.1,1973-02
Corpus Christi ,322726,0,1973-03
Corpus Christi ,322726,0,1973-04
Corpus Christi ,322726,0,1973-05
Corpus Christi ,322726,0,1973-06
Corpus Christi ,322726,0,1973-07
Corpus Christi ,322726,0,1973-08
Corpus Christi ,322726,0,1973-09
Corpus Christi ,322726,0,1973-10
Corpus Christi ,322726,0,1973-11
Corpus Christi ,322726,0,1973-12
Corpus Christi ,322726,0,1974-01
Corpus Christi ,322726,0,1974-02
Corpus Christi ,322726,0,1974-03
Corpus Christi ,322726,0,1974-04
Corpus Christi ,322726,0,1974-05
Corpus Christi ,322726,0,1974-06
Corpus Christi ,322726,0,1974-07
Corpus Christi ,322726,0,1974-08
Corpus Christi ,322726,0,1974-09
Corpus Christi ,322726,0,1974-10
Corpus Christi ,322726,0,1974-11
Corpus Christi ,322726,0,1974-12
Corpus Christi ,322726,0,1975-01
Corpus Christi ,322726,0,1975-02
Corpus Christi ,322726,0,1975-03
Corpus Christi ,322726,0,1975-04
Corpus Christi ,322726,0,1975-05
Corpus Christi ,322726,0,1975-06
Corpus Christi ,322726,0,1975-07
Corpus Christi ,322726,0,1975-08
Corpus Christi ,322726,0,1975-09
Corpus Christi ,322726,0,1975-10
Corpus Christi ,322726,0,1975-11
Corpus Christi ,322726,0,1975-12
Corpus Christi ,322726,0,1976-01
Corpus Christi ,322726,0,1976-02
Corpus Christi ,322726,0,1976-03
Corpus Christi ,322726,0,1976-04
Corpus Christi ,322726,0,1976-05
Corpus Christi ,322726,0,1976-06
Corpus Christi ,322726,0,1976-07
Corpus Christi ,322726,0,1976-08
Corpus Christi ,322726,0,1976-09
Corpus Christi ,322726,0,1976-10
Corpus Christi ,322726,0,1976-11
Corpus Christi ,322726,0,1976-12
Corpus Christi ,322726,0,1977-01
Corpus Christi ,322726,0,1977-02
Corpus Christi ,322726,0,1977-03
Corpus Christi ,322726,0,1977-04
Corpus Christi ,322726,0,1977-05
Corpus Christi ,322726,0,1977-06
Corpus Christi ,322726,0,1977-07
Corpus Christi ,322726,0,1977-08
Corpus Christi ,322726,0,1977-09
Corpus Christi ,322726,0,1977-10
Corpus Christi ,322726,0,1977-11
Corpus Christi ,322726,0,1977-12
Corpus Christi ,322726,0,1978-01
Corpus Christi ,322726,0,1978-02
Corpus Christi ,322726,0,1978-03
Corpus Christi ,322726,0,1978-04
Corpus Christi ,322726,0,1978-05
Corpus Christi ,322726,0,1978-06
Corpus Christi ,322726,0,1978-07
Corpus Christi ,322726,0,1978-08
Corpus Christi ,322726,0,1978-09
Corpus Christi ,322726,0,1978-10
Corpus Christi ,322726,0,1978-11
Corpus Christi ,322726,0,1978-12
Corpus Christi ,322726,0,1979-01
Corpus Christi ,322726,0,1979-02
Corpus Christi ,322726,0,1979-03
Corpus Christi ,322726,0,1979-04
Corpus Christi ,322726,0,1979-05
Corpus Christi ,322726,0,1979-06
Corpus Christi ,322726,0,1979-07
Corpus Christi ,322726,0,1979-08
Corpus Christi ,322726,0,1979-09
Corpus Christi ,322726,0,1979-10
Corpus Christi ,322726,0,1979-11
Corpus Christi ,322726,0,1979-12
Corpus Christi ,322726,0,1980-01
Corpus Christi ,322726,0,1980-02
Corpus Christi ,322726,0,1980-03
Corpus Christi ,322726,0,1980-04
Corpus Christi ,322726,0,1980-05
Corpus Christi ,322726,0,1980-06
Corpus Christi ,322726,0,1980-07
Corpus Christi ,322726,0,1980-08
Corpus Christi ,322726,0,1980-09
Corpus Christi ,322726,0,1980-10
Corpus Christi ,322726,0,1980-11
Corpus Christi ,322726,0,1980-12
Corpus Christi ,322726,0,1981-01
Corpus Christi ,322726,0,1981-02
Corpus Christi ,322726,0,1981-03
Corpus Christi ,322726,0,1981-04
Corpus Christi ,322726,0,1981-05
Corpus Christi ,322726,0,1981-06
Corpus Christi ,322726,0,1981-07
Corpus Christi ,322726,0,1981-08
Corpus Christi ,322726,0,1981-09
Corpus Christi ,322726,0,1981-10
Corpus Christi ,322726,0,1981-11
Corpus Christi ,322726,0,1981-12
Corpus Christi ,322726,0,1982-01
Corpus Christi ,322726,0,1982-02
Corpus Christi ,322726,0,1982-03
Corpus Christi ,322726,0,1982-04
Corpus Christi ,322726,0,1982-05
Corpus Christi ,322726,0,1982-06
Corpus Christi ,322726,0,1982-07
Corpus Christi ,322726,0,1982-08
Corpus Christi ,322726,0,1982-09
Corpus Christi ,322726,0,1982-10
Corpus Christi ,322726,0,1982-11
Corpus Christi ,322726,0,1982-12
Corpus Christi ,322726,0,1983-01
Corpus Christi ,322726,0,1983-02
Corpus Christi ,322726,0,1983-03
Corpus Christi ,322726,0,1983-04
Corpus Christi ,322726,0,1983-05
Corpus Christi ,322726,0,1983-06
Corpus Christi ,322726,0,1983-07
Corpus Christi ,322726,0,1983-08
Corpus Christi ,322726,0,1983-09
Corpus Christi ,322726,0,1983-10
Corpus Christi ,322726,0,1983-11
Corpus Christi ,322726,0,1983-12
Corpus Christi ,322726,0,1984-01
Corpus Christi ,322726,0,1984-02
Corpus Christi ,322726,0,1984-03
Corpus Christi ,322726,0,1984-04
Corpus Christi ,322726,0,1984-05
Corpus Christi ,322726,0,1984-06
Corpus Christi ,322726,0,1984-07
Corpus Christi ,322726,0,1984-08
Corpus Christi ,322726,0,1984-09
Corpus Christi ,322726,0,1984-10
Corpus Christi ,322726,0,1984-11
Corpus Christi ,322726,0,1984-12
Corpus Christi ,322726,0,1985-01
Corpus Christi ,322726,0,1985-02
Corpus Christi ,322726,0,1985-03
Corpus Christi ,322726,0,1985-04
Corpus Christi ,322726,0,1985-05
Corpus Christi ,322726,0,1985-06
Corpus Christi ,322726,0,1985-07
Corpus Christi ,322726,0,1985-08
Corpus Christi ,322726,0,1985-09
Corpus Christi ,322726,0,1985-10
Corpus Christi ,322726,0,1985-11
Corpus Christi ,322726,0,1985-12
Corpus Christi ,322726,0,1986-01
Corpus Christi ,322726,0,1986-02
Corpus Christi ,322726,0,1986-03
Corpus Christi ,322726,0,1986-04
Corpus Christi ,322726,0,1986-05
Corpus Christi ,322726,0,1986-06
Corpus Christi ,322726,0,1986-07
Corpus Christi ,322726,0,1986-08
Corpus Christi ,322726,0,1986-09
Corpus Christi ,322726,0,1986-10
Corpus Christi ,322726,0,1986-11
Corpus Christi ,322726,0,1986-12
Corpus Christi ,322726,0,1987-01
Corpus Christi ,322726,0,1987-02
Corpus Christi ,322726,0,1987-03
Corpus Christi ,322726,0,1987-04
Corpus Christi ,322726,0,1987-05
Corpus Christi ,322726,0,1987-06
Corpus Christi ,322726,0,1987-07
Corpus Christi ,322726,0,1987-08
Corpus Christi ,322726,0,1987-09
Corpus Christi ,322726,0,1987-10
Corpus Christi ,322726,0,1987-11
Corpus Christi ,322726,0,1987-12
Corpus Christi ,322726,0,1988-01
Corpus Christi ,322726,0,1988-02
Corpus Christi ,322726,0,1988-03
Corpus Christi ,322726,0,1988-04
Corpus Christi ,322726,0,1988-05
Corpus Christi ,322726,0,1988-06
Corpus Christi ,322726,0,1988-07
Corpus Christi ,322726,0,1988-08
Corpus Christi ,322726,0,1988-09
Corpus Christi ,322726,0,1988-10
Corpus Christi ,322726,0,1988-11
Corpus Christi ,322726,0,1988-12
Corpus Christi ,322726,0,1989-01
Corpus Christi ,322726,0,1989-02
Corpus Christi ,322726,0,1989-03
Corpus Christi ,322726,0,1989-04
Corpus Christi ,322726,0,1989-05
Corpus Christi ,322726,0,1989-06
Corpus Christi ,322726,0,1989-07
Corpus Christi ,322726,0,1989-08
Corpus Christi ,322726,0,1989-09
Corpus Christi ,322726,0,1989-10
Corpus Christi ,322726,0,1989-11
Corpus Christi ,322726,0,1989-12
Corpus Christi ,322726,0,1990-01
Corpus Christi ,322726,0,1990-02
Corpus Christi ,322726,0,1990-03
Corpus Christi ,322726,0,1990-04
Corpus Christi ,322726,0,1990-05
Corpus Christi ,322726,0,1990-06
Corpus Christi ,322726,0,1990-07
Corpus Christi ,322726,0,1990-08
Corpus Christi ,322726,0,1990-09
Corpus Christi ,322726,0,1990-10
Corpus Christi ,322726,0,1990-11
Corpus Christi ,322726,0,1990-12
Corpus Christi ,322726,0,1991-01
Corpus Christi ,322726,0,1991-02
Corpus Christi ,322726,0,1991-03
Corpus Christi ,322726,0,1991-04
Corpus Christi ,322726,0,1991-05
Corpus Christi ,322726,0,1991-06
Corpus Christi ,322726,0,1991-07
Corpus Christi ,322726,0,1991-08
Corpus Christi ,322726,0,1991-09
Corpus Christi ,322726,0,1991-10
Corpus Christi ,322726,0,1991-11
Corpus Christi ,322726,0,1991-12
Corpus Christi ,322726,0,1992-01
Corpus Christi ,322726,0,1992-02
Corpus Christi ,322726,0,1992-03
Corpus Christi ,322726,0,1992-04
Corpus Christi ,322726,0,1992-05
Corpus Christi ,322726,0,1992-06
Corpus Christi ,322726,0,1992-07
Corpus Christi ,322726,0,1992-08
Corpus Christi ,322726,0,1992-09
Corpus Christi ,322726,0,1992-10
Corpus Christi ,322726,0,1992-11
Corpus Christi ,322726,0,1992-12
Corpus Christi ,322726,0,1993-01
Corpus Christi ,322726,0,1993-02
Corpus Christi ,322726,0,1993-03
Corpus Christi ,322726,0,1993-04
Corpus Christi ,322726,0,1993-05
Corpus Christi ,322726,0,1993-06
Corpus Christi ,322726,0,1993-07
Corpus Christi ,322726,0,1993-08
Corpus Christi ,322726,0,1993-09
Corpus Christi ,322726,0,1993-10
Corpus Christi ,322726,0,1993-11
Corpus Christi ,322726,0,1993-12
Corpus Christi ,322726,0,1994-01
Corpus Christi ,322726,0,1994-02
Corpus Christi ,322726,0,1994-03
Corpus Christi ,322726,0,1994-04
Corpus Christi ,322726,0,1994-05
Corpus Christi ,322726,0,1994-06
Corpus Christi ,322726,0,1994-07
Corpus Christi ,322726,0,1994-08
Corpus Christi ,322726,0,1994-09
Corpus Christi ,322726,0,1994-10
Corpus Christi ,322726,0,1994-11
Corpus Christi ,322726,0,1994-12
Corpus Christi ,322726,0,1995-01
Corpus Christi ,322726,0,1995-02
Corpus Christi ,322726,0,1995-03
Corpus Christi ,322726,0,1995-04
Corpus Christi ,322726,0,1995-05
Corpus Christi ,322726,0,1995-06
Corpus Christi ,322726,0,1995-07
Corpus Christi ,322726,0,1995-08
Corpus Christi ,322726,0,1995-09
Corpus Christi ,322726,0,1995-10
Corpus Christi ,322726,0,1995-11
Corpus Christi ,322726,0,1995-12
Corpus Christi ,322726,0,1996-01
Corpus Christi ,322726,,1996-02
Corpus Christi ,322726,,1996-03
Corpus Christi ,322726,,1996-04
Corpus Christi ,322726,,1996-05
Corpus Christi ,322726,,1996-06
Corpus Christi ,322726,,1996-07
Corpus Christi ,322726,,1996-08
Corpus Christi ,322726,,1996-09
Corpus Christi ,322726,,1996-10
Corpus Christi ,322726,,1996-11
Corpus Christi ,322726,,1996-12
Corpus Christi ,322726,,1997-01
Corpus Christi ,322726,,1997-02
Corpus Christi ,322726,,1997-03
Corpus Christi ,322726,,1997-04
Corpus Christi ,322726,,1997-05
Corpus Christi ,322726,,1997-06
Corpus Christi ,322726,,1997-07
Corpus Christi ,322726,,1997-08
Corpus Christi ,322726,,1997-09
Corpus Christi ,322726,,1997-10
Corpus Christi ,322726,,1997-11
Corpus Christi ,322726,,1997-12
Corpus Christi ,322726,,1998-01
Corpus Christi ,322726,,1998-02
Corpus Christi ,322726,,1998-03
Corpus Christi ,322726,,1998-04
Corpus Christi ,322726,,1998-05
Corpus Christi ,322726,,1998-06
Corpus Christi ,322726,,1998-07
Corpus Christi ,322726,,1998-08
Corpus Christi ,322726,,1998-09
Corpus Christi ,322726,,1998-10
Corpus Christi ,322726,,1998-11
Corpus Christi ,322726,,1998-12
Corpus Christi ,322726,,1999-01
Corpus Christi ,322726,,1999-02
Corpus Christi ,322726,,1999-03
Corpus Christi ,322726,,1999-04
Corpus Christi ,322726,,1999-05
Corpus Christi ,322726,,1999-06
Corpus Christi ,322726,,1999-07
Corpus Christi ,322726,,1999-08
Corpus Christi ,322726,,1999-09
Corpus Christi ,322726,,1999-10
Corpus Christi ,322726,,1999-11
Corpus Christi ,322726,,1999-12
Corpus Christi ,322726,,2000-01
Corpus Christi ,322726,,2000-02
Corpus Christi ,322726,,2000-03
Corpus Christi ,322726,,2000-04
Corpus Christi ,322726,,2000-05
Corpus Christi ,322726,,2000-06
Corpus Christi ,322726,,2000-07
Corpus Christi ,322726,,2000-08
Corpus Christi ,322726,,2000-09
Corpus Christi ,322726,,2000-10
Corpus Christi ,322726,,2000-11
Corpus Christi ,322726,,2000-12
Corpus Christi ,322726,,2001-01
Corpus Christi ,322726,,2001-02
Corpus Christi ,322726,,2001-03
Corpus Christi ,322726,,2001-04
Corpus Christi ,322726,,2001-05
Corpus Christi ,322726,,2001-06
Corpus Christi ,322726,,2001-07
Corpus Christi ,322726,,2001-08
Corpus Christi ,322726,,2001-09
Corpus Christi ,322726,,2001-10
Corpus Christi ,322726,,2001-11
Corpus Christi ,322726,,2001-12
Corpus Christi ,322726,,2002-01
Corpus Christi ,322726,,2002-02
Corpus Christi ,322726,,2002-03
Corpus Christi ,322726,,2002-04
Corpus Christi ,322726,,2002-05
Corpus Christi ,322726,,2002-06
Corpus Christi ,322726,,2002-07
Corpus Christi ,322726,,2002-08
Corpus Christi ,322726,,2002-09
Corpus Christi ,322726,,2002-10
Corpus Christi ,322726,,2002-11
Corpus Christi ,322726,,2002-12
Corpus Christi ,322726,,2003-01
Corpus Christi ,322726,,2003-02
Corpus Christi ,322726,,2003-03
Corpus Christi ,322726,,2003-04
Corpus Christi ,322726,,2003-05
Corpus Christi ,322726,,2003-06
Corpus Christi ,322726,,2003-07
Corpus Christi ,322726,,2003-08
Corpus Christi ,322726,,2003-09
Corpus Christi ,322726,,2003-10
Corpus Christi ,322726,,2003-11
Corpus Christi ,322726,,2003-12
Corpus Christi ,322726,,2004-01
Corpus Christi ,322726,,2004-02
Corpus Christi ,322726,,2004-03
Corpus Christi ,322726,,2004-04
Corpus Christi ,322726,,2004-05
Corpus Christi ,322726,,2004-06
Corpus Christi ,322726,,2004-07
Corpus Christi ,322726,,2004-08
Corpus Christi ,322726,,2004-09
Corpus Christi ,322726,,2004-10
Corpus Christi ,322726,,2004-11
Corpus Christi ,322726,4.4,2004-12
Corpus Christi ,322726,0,2005-01
Corpus Christi ,322726,0,2005-02
Corpus Christi ,322726,0,2005-03
Corpus Christi ,322726,0,2005-04
Corpus Christi ,322726,0,2005-05
Corpus Christi ,322726,0,2005-06
Corpus Christi ,322726,0,2005-07
Corpus Christi ,322726,0,2005-08
Corpus Christi ,322726,0,2005-09
Corpus Christi ,322726,0,2005-10
Corpus Christi ,322726,0,2005-11
Corpus Christi ,322726,0,2005-12
Corpus Christi ,322726,0,2006-01
Corpus Christi ,322726,0,2006-02
Corpus Christi ,322726,0,2006-03
Corpus Christi ,322726,0,2006-04
Corpus Christi ,322726,0,2006-05
Corpus Christi ,322726,0,2006-06
Corpus Christi ,322726,0,2006-07
Corpus Christi ,322726,0,2006-08
Corpus Christi ,322726,0,2006-09
Corpus Christi ,322726,0,2006-10
Corpus Christi ,322726,0,2006-11
Corpus Christi ,322726,0,2006-12
Corpus Christi ,322726,0,2007-01
Corpus Christi ,322726,0,2007-02
Corpus Christi ,322726,0,2007-03
Corpus Christi ,322726,0,2007-04
Corpus Christi ,322726,0,2007-05
Corpus Christi ,322726,0,2007-06
Corpus Christi ,322726,0,2007-07
Corpus Christi ,322726,0,2007-08
Corpus Christi ,322726,0,2007-09
Corpus Christi ,322726,0,2007-10
Corpus Christi ,322726,0,2007-11
Corpus Christi ,322726,0,2007-12
Corpus Christi ,322726,0,2008-01
Corpus Christi ,322726,0,2008-02
Corpus Christi ,322726,0,2008-03
Corpus Christi ,322726,0,2008-04
Corpus Christi ,322726,0,2008-05
Corpus Christi ,322726,0,2008-06
Corpus Christi ,322726,0,2008-07
Corpus Christi ,322726,0,2008-08
Corpus Christi ,322726,0,2008-09
Corpus Christi ,322726,0,2008-10
Corpus Christi ,322726,0,2008-11
Corpus Christi ,322726,0,2008-12
Corpus Christi ,322726,0,2009-01
Corpus Christi ,322726,0,2009-02
Corpus Christi ,322726,0,2009-03
Corpus Christi ,322726,0,2009-04
Corpus Christi ,322726,0,2009-05
Corpus Christi ,322726,0,2009-06
Corpus Christi ,322726,0,2009-07
Corpus Christi ,322726,0,2009-08
Corpus Christi ,322726,0,2009-09
Corpus Christi ,322726,0,2009-10
Corpus Christi ,322726,0,2009-11
Corpus Christi ,322726,0,2009-12
Corpus Christi ,322726,0,2010-01
Corpus Christi ,322726,0,2010-02
Corpus Christi ,322726,0,2010-03
Corpus Christi ,322726,0,2010-04
Corpus Christi ,322726,0,2010-05
Corpus Christi ,322726,0,2010-06
Corpus Christi ,322726,0,2010-07
Corpus Christi ,322726,0,2010-08
Corpus Christi ,322726,0,2010-09
Corpus Christi ,322726,0,2010-10
Corpus Christi ,322726,0,2010-11
Corpus Christi ,322726,0,2010-12
Corpus Christi ,322726,0,2011-01
Corpus Christi ,322726,0,2011-02
Corpus Christi ,322726,0,2011-03
Corpus Christi ,322726,0,2011-04
Corpus Christi ,322726,0,2011-05
Corpus Christi ,322726,0,2011-06
Corpus Christi ,322726,0,2011-07
Corpus Christi ,322726,0,2011-08
