"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2004","4.3","W","46",,"46","W","114","W","38","W",,,,,"30","W","190","W","90","W","56","W","0","W","-22","W,0117,",,,,,"1.45",",W,0826,","83","W,0816,","31","W,0914","28","W,0916","22","W,1018","20","W,1031","2","W,1102","31","W,0423","23","W,0412","23","W,0412","18","W,0402","-1","W,0401","10040",,"10040","W","16.34",",W",,,"38.6","W","46.3","W","30.8","W","210","W","170","W","36.0","W","47.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2005","4.0","B","14",,"14","B","114","B","49","B",,,,,"25","B","181","B","98","B","42","B","0","B","-14","B,0119,",,,,,"1.42",",B,0906,","79","B,0710,","30","B,1004","26","B,1013","22","B,1016","19","B,1027","15","B,1029","23","W,0423","23","W,0423","23","W,0423","18","W,0402","16","W,0330","9141",,"9141","B","16.19",",B",,,"38.9","B","46.3","B","31.5","B","200","B","200","B","31.1","B","48.1","B"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2006","4.3","W","0",,"0","W","116","W","47","W",,,,,"42","W","195","W","124","W","16","W","0","W","-15","W,1126,",,,,,"1.04",",W,0822,","78","W,0713,","30","W,0930","25","W,1015","22","W,1024","16","W,1028","12","W,1101","31","W,0508","27","W,0420","19","W,0416","19","W,0416","15","W,0322","10123",,"10123","W","19.39",",W",,,"35.8","W","43.2","W","28.3","W",,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2007","3.6","W","7",,"7","W","96","W","38","W",,,,,"32","W","185","W","114","W","20","W","0","W","-19","W,0109,+",,,,,"1.02",",W,0908,","79","W,0813,","30","W,1004","23","W,1008","23","W,1008","18","W,1011","14","W,1115","31","W,0430","27","W,0421","17","W,0402","17","W,0402","13","W,0401","10886",,"10886","W","12.83",",W",,,"36.9","W","44.3","W","29.6","W","30","W","20","W","32.0","W","48.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2008","3.4","W","1",,"1","W","114","W","36","W",,,,,"27","W","195","W","116","W","5","W","0","W","-17","W,0206,",,,,,"1.28",",W,0425,","75","W,0731,","31","W,0928","26","W,1002","23","W,1009","18","W,1024","14","W,1026","27","W,0428","27","W,0428","22","W,0417","17","W,0413","12","W,0410","9980",,"9980","W","11.42",",W",,,"35.5","W","42.4","W","28.6","W","350","W","360","W","30.0","W","40.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2009","3.4","W","18",,"18","W","95","W","37","W",,,,,"29","W","177","W","112","W","22","W","0","W","-24","W,0107,",,,,,"0.45",",W,0925,","83","W,0707,","32","W,0928","26","W,1002","21","W,1030","16","W,1101","13","W,1102","32","W,0428","27","W,0416","17","W,0406","17","W,0406","11","W,0401","10728",,"10728","W","11.35",",W",,,"37.0","W","44.5","W","29.5","W","30","W","110","W","30.0","W","53.9","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2010","3.6","W","0",,"0","W","105","W","25","W",,,,,"24","W","178","W","94","W","11","W","0","W","-9","W,1224,",,,,,"0.81",",W,0828,","78","W,0527,","28","W,0927","26","W,0928","20","W,1014","18","W,1116","11","W,1117","25","W,0424","25","W,0424","21","W,0410","17","W,0321","15","W,0318","9454",,"9454","W","9.20",",W",,,"38.2","W","45.2","W","31.1","W","360","W","360","W","36.0","W","48.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2011","3.8","W","0",,"0","W","121","W","34","W",,,,,"22","W","180","W","86","W","22","W","0","W","-14","W,0116,",,,,,"0.64",",W,0802,","76","W,0526,","32","W,0926","24","W,1011","23","W,1027","17","W,1030","13","W,1031","32","W,0502","25","W,0401","23","W,0328","11","W,0320","11","W,0320","9656",,"9656","W","11.75",",W",,,"38.3","W","46.1","W","30.5","W","320","W","350","W","31.1","W","206.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2012","3.4","W","0",,"0","W","117","W","54","W",,,,,"52","W","196","W","124","W","15","W","0","W","-18","W,0119,+",,,,,"1.02",",W,0920,+","77","W,0622,","31","W,0910","25","W,1001","23","W,1017","19","W,1018","13","W,1022","30","W,0503","26","W,0502","21","W,0410","8","W,0326","8","W,0326","10526",,"10526","W","16.43",",W",,,"34.6","W","42.6","W","26.7","W","100","W","90","W","44.1","W","61.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2013","3.8","W","74",,"74","W","137","W","58","W",,,,,"22","W","184","W","106","W","48","W","0","W","-15","W,0128,",,,,,"1.34",",W,0904,","87","W,0618,","30","W,0920","27","W,1024","22","W,1106","18","W,1108","5","W,1112","31","W,0520","26","W,0519","23","W,0420","19","W,0419","14","W,0417","10462",,"10462","W","20.05",",W",,,"38.4","W","45.6","W","31.3","W","200","W","20","W","25.9","W","202.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2014","3.4","W","8",,"8","W","105","W","43","W",,,,,"5","W","189","W","79","W","23","W","0","W","-3","W,0221,",,,,,"0.77",",W,0625,","79","W,0705,","32","W,0925","22","W,1007","22","W,1007","19","W,1008","15","W,1031","32","W,0424","19","W,0411","19","W,0411","19","W,0411","14","W,0410","9345",,"9345","W","15.48",",W",,,"40.0","W","47.5","W","32.5","W","190","W","220","W","30.0","W","231.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2015","4.0","W","41",,"41","W","95","W","41","W",,,,,"18","W","169","W","84","W","38","W","0","W","-8","W,1118,",,,,,"1.63",",W,0929,","86","W,0615,","32","W,0919","27","W,0923","20","W,1031","18","W,1101","13","W,1112","28","W,0424","26","W,0414","23","W,0321","15","W,0316","15","W,0316","8976",,"8976","W","15.43",",W",,,"40.0","W","47.0","W","33.0","W","30","W","140","W","33.1","W","47.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2016","3.8","W","27",,"27","W","100","W","43","W",,,,,"11","W","175","W","73","W","48","W","0","W","-10","W,1205,",,,,,"1.04",",W,0606,","81","W,0718,","31","W,0928","27","W,1007","22","W,1015","16","W,1022","11","W,1023","30","W,0421","20","W,0320","20","W,0320","17","W,0319","14","W,0219","8267",,"8267","W","13.91",",W",,,"41.5","W","49.0","W","34.1","W","350","W","140","W","25.9","W","36.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2017","3.8","W","2",,"2","W","83","W","36","W",,,,,"37","W","188","W","124","W","13","W","0","W","-21","W,0119,",,,,,"0.61",",W,1030,","77","W,0723,","29","W,1001","25","W,1015","21","W,1016","16","W,1019","10","W,1020","31","W,0505","25","W,0419","23","W,0408","18","W,0330","11","W,0327","10495",,"10495","W","12.11",",W",,,"35.9","W","43.3","W","28.4","W","140","W","140","W","29.1","W","46.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2018","4.3","W","20",,"20","W","127","W","57","W",,,,,"14","W","168","W","99","W","26","W","0","W","-10","W,0204,",,,,,"1.00",",W,0615,","81","W,0706,+","32","W,1015","22","W,1029","22","W,1029","17","W,1030","14","W,1031","32","W,0427","27","W,0415","20","W,0406","18","W,0331","13","W,0325","9894",,"9894","W","17.11",",W",,,"39.6","W","47.0","W","32.2","W","30","W","60","W","32.0","W","59.9","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8766",,"8766","W",,,,,,,,,,,,,,,,,,
